LineId,Date,Time,Pid,Level,Component,Content,EventId,EventTemplate
1,081109,203533,151,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-2983481749155087856 src: /10.251.215.50:51490 dest: /10.251.215.50:50010,E0,Receiving block <*> src: <*> dest: <*>
2,081109,203533,29,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000070_0/part-00070. blk_-2983481749155087856,E2,BLOCK* NameSystem.allocateBlock: <*> <*>
3,081109,203535,148,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-2983481749155087856 src: /10.251.107.196:41843 dest: /10.251.107.196:50010,E0,Receiving block <*> src: <*> dest: <*>
4,081109,203535,152,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-2983481749155087856 src: /10.251.215.50:47894 dest: /10.251.215.50:50010,E0,Receiving block <*> src: <*> dest: <*>
5,081109,203625,153,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_-2983481749155087856 terminating,E4,PacketResponder <*> for block <*> terminating
6,081109,203625,153,INFO,dfs.DataNode$PacketResponder,Received block blk_-2983481749155087856 of size 67108864 from /10.251.215.50,E7,Received block <*> of size <*> from <*>
7,081109,203625,154,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_-2983481749155087856 terminating,E4,PacketResponder <*> for block <*> terminating
8,081109,203625,154,INFO,dfs.DataNode$PacketResponder,Received block blk_-2983481749155087856 of size 67108864 from /10.251.107.196,E7,Received block <*> of size <*> from <*>
9,081109,203625,157,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_-2983481749155087856 terminating,E4,PacketResponder <*> for block <*> terminating
10,081109,203625,157,INFO,dfs.DataNode$PacketResponder,Received block blk_-2983481749155087856 of size 67108864 from /10.251.215.50,E7,Received block <*> of size <*> from <*>
11,081109,203625,30,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.215.50:50010 is added to blk_-2983481749155087856 size 67108864,E8,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>
12,081109,203625,32,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.107.196:50010 is added to blk_-2983481749155087856 size 67108864,E8,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>
13,081109,203625,34,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.25.237:50010 is added to blk_-2983481749155087856 size 67108864,E8,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>
14,081109,203742,230,INFO,dfs.DataNode$DataXceiver,Receiving block blk_6404252731726582635 src: /10.251.29.239:54275 dest: /10.251.29.239:50010,E0,Receiving block <*> src: <*> dest: <*>
15,081109,203742,238,INFO,dfs.DataNode$DataXceiver,Receiving block blk_6404252731726582635 src: /10.251.29.239:40220 dest: /10.251.29.239:50010,E0,Receiving block <*> src: <*> dest: <*>
16,081109,203742,27,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000264_0/part-00264. blk_6404252731726582635,E2,BLOCK* NameSystem.allocateBlock: <*> <*>
17,081109,203743,240,INFO,dfs.DataNode$DataXceiver,Receiving block blk_6404252731726582635 src: /10.250.5.237:52389 dest: /10.250.5.237:50010,E0,Receiving block <*> src: <*> dest: <*>
18,081109,203747,239,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-2243197970814107671 src: /10.251.25.237:60442 dest: /10.251.25.237:50010,E0,Receiving block <*> src: <*> dest: <*>
19,081109,203747,243,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-2243197970814107671 src: /10.251.25.237:53951 dest: /10.251.25.237:50010,E0,Receiving block <*> src: <*> dest: <*>
20,081109,203747,35,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000395_0/part-00395. blk_-2243197970814107671,E2,BLOCK* NameSystem.allocateBlock: <*> <*>
21,081109,203748,257,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-2243197970814107671 src: /10.251.66.192:35207 dest: /10.251.66.192:50010,E0,Receiving block <*> src: <*> dest: <*>
22,081109,203816,253,INFO,dfs.DataNode$DataXceiver,Receiving block blk_8797041285204073351 src: /10.251.123.20:41940 dest: /10.251.123.20:50010,E0,Receiving block <*> src: <*> dest: <*>
23,081109,203816,253,INFO,dfs.DataNode$DataXceiver,Receiving block blk_8797041285204073351 src: /10.251.123.20:54096 dest: /10.251.123.20:50010,E0,Receiving block <*> src: <*> dest: <*>
24,081109,203816,256,INFO,dfs.DataNode$DataXceiver,Receiving block blk_8797041285204073351 src: /10.251.75.49:45951 dest: /10.251.75.49:50010,E0,Receiving block <*> src: <*> dest: <*>
25,081109,203816,26,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000288_0/part-00288. blk_8797041285204073351,E2,BLOCK* NameSystem.allocateBlock: <*> <*>
26,081109,203817,231,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_6404252731726582635 terminating,E4,PacketResponder <*> for block <*> terminating
27,081109,203817,231,INFO,dfs.DataNode$PacketResponder,Received block blk_6404252731726582635 of size 67108864 from /10.251.29.239,E7,Received block <*> of size <*> from <*>
28,081109,203817,241,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_6404252731726582635 terminating,E4,PacketResponder <*> for block <*> terminating
29,081109,203817,241,INFO,dfs.DataNode$PacketResponder,Received block blk_6404252731726582635 of size 67108864 from /10.250.5.237,E7,Received block <*> of size <*> from <*>
30,081109,203818,239,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_6404252731726582635 terminating,E4,PacketResponder <*> for block <*> terminating
