EventId,EventTemplate,Occurrences
E0,"('Receiving', 'block', '<*>', 'src:', '<*>', 'dest:', '<*>')",2338
E1,"('BLOCK*', 'NameSystem.allocateBlock:', '<*>', '<*>')",783
E2,"('Verification', 'succeeded', 'for', '<*>')",105
E3,"('PacketResponder', '<*>', 'for', 'block', '<*>', 'terminating')",2248
E4,"('Receiving', 'empty', 'packet', 'for', 'block', '<*>')",3
E5,"('Received', 'block', '<*>', 'of', 'size', '<*>', 'from', '<*>')",2247
E6,"('BLOCK*', 'NameSystem.addStoredBlock:', 'blockMap', 'updated:', '<*>', 'is', 'added', 'to', '<*>', 'size', '<*>')",2254
E7,"('writeBlock', '<*>', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream')",2
E8,"('Received', 'block', '<*>', 'src:', '<*>', 'dest:', '<*>', 'of', 'size', '<*>')",4
E9,"('<*>', 'Starting', 'thread', 'to', 'transfer', 'block', '<*>', 'to', '<*>')",4
E10,"('BLOCK*', 'ask', '<*>', 'to', 'replicate', '<*>', 'to', 'datanode(s)', '<*>')",4
E11,"('<*>', 'block', '<*>', 'to', '<*>')",4
E12,"('Deleting', 'block', '<*>', 'file', '<*>')",4
