LineId,Logrecord,Date,Time,Pid,Level,Component,ADDR,Content,EventId,EventTemplate
1,nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:39:03.166,2931,INFO,nova.compute.manager,-,[instance: 2b590f10-49fd-4ec9-ae41-19596c2f4b25] VM Stopped (Lifecycle Event),E0,<*> VM <*> (Lifecycle Event)
2,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:39:03.201,25746,INFO,nova.osapi_compute.wsgi.server,req-050312b7-c94e-4773-9319-c330e1f3fdaa 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1759 time: 0.2721701",E5,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
3,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:39:29.061,25799,INFO,nova.metadata.wsgi.server,req-7af179fc-065f-4fc1-af95-57cbdc4fc589 - - - - -,"10.11.11.225,10.11.10.1 ""GET /openstack/2012-08-10/meta_data.json HTTP/1.1"" status: 200 len: 264 time: 0.2246630",E6,"<*> <*> ""GET <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
4,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:39:29.482,25778,INFO,nova.metadata.wsgi.server,req-bc077004-1c52-4c12-8153-2c2ba159896b - - - - -,"10.11.11.225,10.11.10.1 ""GET /openstack/2013-10-17 HTTP/1.1"" status: 200 len: 157 time: 0.4092629",E6,"<*> <*> ""GET <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
5,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:39:29.711,25746,INFO,nova.osapi_compute.wsgi.server,req-d1a646cc-b7b8-4a63-963e-40051488cb7f 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""DELETE /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/3edec1e4-9678-4a3a-a21b-a145a4ee5e61 HTTP/1.1"" status: 204 len: 203 time: 0.2484462",E5,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
6,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:39:29.734,25788,INFO,nova.metadata.wsgi.server,req-9babc68d-c6e9-4a18-aa95-d9d320f603db - - - - -,"10.11.11.225,10.11.10.1 ""GET /openstack/2013-10-17/vendor_data.json HTTP/1.1"" status: 200 len: 124 time: 0.2405910",E6,"<*> <*> ""GET <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
7,nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:39:29.743,2931,INFO,nova.compute.manager,req-d1a646cc-b7b8-4a63-963e-40051488cb7f 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: 3edec1e4-9678-4a3a-a21b-a145a4ee5e61] Terminating instance,E10,<*> Terminating instance
8,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:39:29.750,25788,INFO,nova.metadata.wsgi.server,-,"10.11.11.225,10.11.10.1 ""GET /openstack/2013-10-17/vendor_data.json HTTP/1.1"" status: 200 len: 124 time: 0.0009141",E6,"<*> <*> ""GET <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
9,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:39:29.765,25788,INFO,nova.metadata.wsgi.server,-,"10.11.11.225,10.11.10.1 ""GET /openstack/2013-10-17/user_data HTTP/1.1"" status: 404 len: 176 time: 0.0007350",E6,"<*> <*> ""GET <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
10,nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:39:29.959,2931,INFO,nova.virt.libvirt.driver,-,[instance: 3edec1e4-9678-4a3a-a21b-a145a4ee5e61] Instance destroyed successfully.,E13,<*> Instance <*> successfully.
11,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:39:29.984,25746,INFO,nova.osapi_compute.wsgi.server,req-b6fc2264-9889-48b9-933c-0d66b8332f67 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1916 time: 0.2691760",E5,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
12,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:40:00.287,25746,INFO,nova.osapi_compute.wsgi.server,req-703e826c-3c27-4dfc-a955-c9db43c47845 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.4248340",E5,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
13,nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:40:00.469,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): checking,E1,image <*> at <*> checking
14,nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:40:00.470,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,"image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): in use: on this node 1 local, 0 on other nodes sharing this instance storage",E17,"image <*> at <*> in use: on this node <*> local, <*> on other nodes sharing this instance storage"
15,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:40:00.536,25746,INFO,nova.osapi_compute.wsgi.server,req-682f1297-5222-4fee-846c-dd8660edc6a1 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2455161",E5,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
16,nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:40:00.667,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Active base files: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,E14,Active base files: <*>
17,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:40:26.493,25746,INFO,nova.osapi_compute.wsgi.server,req-fcfc8837-5363-4909-8743-64f668f536a1 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1759 time: 0.3095410",E5,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
