EventId,EventTemplate,Occurrences
E0,"('<*>', 'VM', '<*>', '(Lifecycle', 'Event)')",485
E1,"('image', '<*>', 'at', '<*>', 'checking')",559
E2,"('<*>', 'Deleting', 'instance', 'files', '<*>')",116
E3,"('<*>', 'Deletion', 'of', '<*>', 'complete')",115
E4,"('Compute_service', 'record', 'updated', 'for', 'cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us:cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us')",85
E5,"('<*>', '<*>', '<*>', 'HTTP/1.1""', 'status:', '<*>', 'len:', '<*>', 'time:', '<*>')",3767
E6,"('<*>', '<*>', '""GET', '<*>', 'HTTP/1.1""', 'status:', '<*>', 'len:', '<*>', 'time:', '<*>')",968
E7,"('<*>', 'During', 'sync_power_state', 'the', 'instance', 'has', 'a', 'pending', 'task', '(spawning).', 'Skip.')",185
E8,"('<*>', 'Took', '<*>', 'seconds', 'to', '<*>', 'the', 'instance', 'on', 'the', 'hypervisor.')",206
E9,"('Final', 'resource', 'view:', 'name=cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us', '<*>', '<*>', 'phys_disk=15GB', '<*>', 'total_vcpus=16', '<*>', 'pci_stats=[]')",81
E10,"('<*>', 'Terminating', 'instance')",101
E11,"('<*>', 'Claim', 'successful')",96
E12,"('<*>', 'Creating', 'image')",89
E13,"('<*>', 'Instance', '<*>', 'successfully.')",193
E14,"('Active', 'base', 'files:', '<*>')",560
E15,"('Unknown', 'base', 'file:', '<*>')",159
E16,"('Removable', 'base', 'files:', '<*>')",159
E17,"('image', '<*>', 'at', '<*>', 'in', 'use:', 'on', 'this', 'node', '<*>', 'local,', '<*>', 'on', 'other', 'nodes', 'sharing', 'this', 'instance', 'storage')",560
E18,"('<*>', 'Attempting', 'claim:', 'memory', '<*>', 'MB,', 'disk', '<*>', 'GB,', 'vcpus', '<*>', 'CPU')",94
E19,"('The', 'instance', 'sync', 'for', 'host', ""'cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us'"", 'did', 'not', 'match.', 'Re-created', 'its', 'InstanceList.')",18
E20,"('<*>', 'Total', 'memory:', '<*>', 'MB,', 'used:', '<*>', 'MB')",94
E21,"('<*>', 'memory', 'limit:', '<*>', 'MB,', 'free:', '<*>', 'MB')",94
E22,"('<*>', 'Total', 'disk:', '<*>', 'GB,', 'used:', '<*>', 'GB')",95
E23,"('<*>', '<*>', 'limit', 'not', 'specified,', 'defaulting', 'to', 'unlimited')",191
E24,"('<*>', 'Total', 'vcpu:', '<*>', 'VCPU,', 'used:', '<*>', 'VCPU')",96
E25,"('Auditing', 'locally', 'available', 'compute', 'resources', 'for', 'node', 'cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us')",79
E26,"('Total', 'usable', 'vcpus:', '<*>', 'total', 'allocated', 'vcpus:', '<*>')",81
E27,"('Removing', 'base', 'or', 'swap', 'file:', '<*>')",103
E28,"('Creating', 'event', '<*>', 'for', 'instance', '<*>')",96
E29,"('Successfully', 'synced', 'instances', 'from', 'host', ""'cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us'."")",15
E30,"('<*>', 'Took', '<*>', 'seconds', 'to', 'build', 'instance.')",97
E31,"('<*>', 'Took', '<*>', 'seconds', 'to', 'deallocate', 'network', 'for', 'instance.')",97
E32,"('Base', 'or', 'swap', 'file', 'too', 'young', 'to', 'remove:', '<*>')",56
E33,"('HTTP', 'exception', 'thrown:', 'No', 'instances', 'found', 'for', 'any', 'event')",102
E34,"('While', 'synchronizing', 'instance', 'power', 'states,', 'found', '<*>', 'instances', 'in', 'the', 'database', 'and', '<*>', 'instances', 'on', 'the', 'hypervisor.')",1
E35,"('Running', 'instance', 'usage', 'audit', 'for', 'host', 'cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us', 'from', '<*>', '<*>', 'to', '<*>', '<*>', '<*>', 'instances.')",1
